11.81	3.59	12.1	7.79	0.75	3.99	19.23	15.59	19.31	0.87
10.9	7.07	15.58	13.89	18.0	12.12	0.7	13.3	11.21	23.8
-1.0	24.06	2.43	21.29	8.6	25.58	23.86	7.2	23.32	25.26
-1.0	-1.0	20.73	22.99	14.64	5.48	3.72	10.67	6.58	20.35
15.79	12.42	23.67	16.16	22.95	2.99	19.53	8.76	20.87	15.27
1.48	15.96	20.28	23.46	21.82	20.7	9.09	1.38	8.21	0.46
25.39	22.18	17.41	19.72	3.13	13.54	23.73	8.12	5.63	1.7
0.92	10.7	-1.0	21.06	23.85	19.69	8.99	25.98	18.55	24.7
17.6	9.81	3.54	2.37	15.67	25.93	20.14	11.19	-1.0	16.4
14.34	10.87	11.95	15.0	16.27	24.52	14.33	7.87	22.86	13.26
